Elements,Atomic No.,Atomic Weight,Atomic Radius,Work Function,MB Electronegativity,Cohesive Energy,Cal B,Cal G,B/G
Li,3,6.94,1.52,2.9,0.9,158,62.337,23.6414,2.63677278
Be,4,9.0122,1.13,4.98,1.45,320,91.608,71.816,1.275593183
Na,11,22.99,1.54,2.75,0.89,107,60.7563,23.366,2.600201147
Mg,12,24.305,1.6,3.66,1.31,145,70.191,28.194,2.489572249
Al,13,26.982,1.43,4.28,1.64,327,82.335,31.39,2.622969098
Si,14,28.085,1.17,4.85,1.98,446,91.146,35.946,2.535636789
K,19,39.0938,2.27,2.3,0.8,90.1,59.5584,22.618,2.633230171
Ca,20,40.078,1.97,2.87,1.17,178,63.525,24.726,2.569157971
Ti,22,47.867,1.45,4.33,1.86,468,93.192,35.81,2.602401564
Cr,24,51.9962,1.25,4.5,2,395,121.308,62.636,1.936713711
Fe,26,55.845,1.24,4.5,1.67,413,114.048,50.43,2.261511005
Co,27,58.93319,1.25,5,1.72,424,121.671,48.662,2.500328799
Ni,28,58.6934,1.25,5.15,1.76,428,119.988,48.186,2.490100859
Ge,32,72.64,1.23,5,1.99,372,83.985,35.776,2.347523479
Rb,37,85.4678,2.475,2.16,0.8,82.2,59.5452,22.5228,2.643774309
Cs,55,132.9054,2.654,2.14,0.77,77.6,59.1789,22.4004,2.641868002
Ba,56,137.327,2.17,2.7,1.08,183,61.908,23.876,2.592896633
Pb,82,207.2,1.75,4.25,1.92,196,72.666,24.046,3.021957914
Cu,29,63.546,1.28,4.65,1.08,336,101.706,37.816,2.689496509
Rh,45,102.9055,1.34,4.98,1.99,554,147.774,73.176,2.019432601
Pt,78,195.084,1.38,5.65,1.91,564,150.348,43.324,3.470316684
Ir,77,192.217,1.36,5.27,1.87,670,184.899,94.936,1.947617342
Ru,44,101.07,1.34,4.71,1.97,650,173.349,77.596,2.23399402
Re,75,186.207,1.37,4.96,2.06,775,181.17,84.056,2.155348815
Au,79,196.9665,1.44,5.1,1.19,368,115.665,31.73,3.645288371
Ag,47,107.8862,1.44,4.26,1.07,284,91.74,32.104,2.85758784
Pd,46,106.42,1.38,5.12,2.08,376,118.173,39.89,2.962471797
Os,76,190.23,1.35,4.83,1.85,788,210.969,94.936,2.222223393
Mn,25,54.93804,1.24,4.1,2.04,282,78.177,62.636,1.248116099
Cd,48,112.441,1.49,4.22,1.4,112,73.9332,30.54,2.42086444
Zn,30,65.38,1.33,4.33,1.44,130,78.243,35.062,2.231561234
La,57,138.9055,1.88,3.5,1.35,431,66.528,27.344,2.433001755
Mo,42,95.96,1.36,4.6,1.94,658,148.434,62.296,2.382721202
Y,39,88.90585,1.81,3.1,1.41,422,70.587,31.118,2.268365576
W,74,183.84,1.37,4.55,1.79,859,165.165,75.216,2.195875877
Nb,41,92.90638,1.43,4.3,2.03,730,114.675,35.164,3.261147765
Zr,40,91.224,1.6,4.05,1.7,603,85.998,34.008,2.528757939
Sc,21,44.95591,1.61,3.5,1.5,376,77.418,33.022,2.344437042
Hf,72,178.49,1.56,3.9,1.73,621,94.446,40.536,2.329928952
Ta,73,180.9478,1.43,4.25,1.94,782,124.542,45.976,2.708848095
V,23,50.9415,1.32,4.3,2.22,512,111.936,38.292,2.923221561
