Enthalpy,Lattice Mismatch,Coeficient of Thermal Expansion,Cohesive Energy,Work Function,Wigner-Seitz cell density,Volume,Bulk Modulus,Shear Modulus,Relative Melting Temperature
0.21,0.18,19.2,2.95,4.35,2.52,12.25,100.7,28.65,1235
-0.31,0.12,23.03,3.39,4.2,2.7,10,72.18,26.57,934
0.08,0.13,14.16,3.81,5.15,3.87,10.2,173.2,27.57,1338
-0.22,0.13,5,5.81,5.3,5.36,4.7,178.5,203.1,2365
-0.01,0.2,29.8,1.16,4.05,1.91,13,46.75,24.13,594
-0.04,0.03,6.2,4.1,4.65,5.18,7.23,190.3,116.7,2133
0.06,0.02,16.5,3.49,4.45,3.18,7.12,131,45.13,1358
-0.01,0.02,12.3,4.28,4.93,5.55,7.09,168.3,81.52,1811
-0.24,0.17,20,2.81,4.1,2.25,11.82,56.9,37.47,303
-0.16,0.12,5.57,3.85,4.55,2.57,9.87,77.24,39.24,1211
-0.4,0.21,5.9,6.44,3.6,3.05,13.45,108.9,52.97,2504
0.05,0.22,49,0.67,4.2,1.91,14.08,28.25,10.01,234
-0.04,0.25,33,2.52,3.9,1.6,15.75,41.09,3.728,430
-0.04,0.08,6.4,6.94,5.55,6.13,8.52,355.1,209.9,2720
-0.22,0.33,4.9,4.47,3.17,1.64,22.55,24.3,14.91,1194
-0.05,0.03,22,2.92,4.45,4.17,7.35,59.67,76.52,1520
-0.05,0.11,5.43,6.82,4.65,5.55,9.4,272.6,115.8,2895
-0.27,0.15,7.07,7.57,4.05,4.41,10.8,170.3,37.47,2750
0,0.01,13.3,4.44,5.2,5.36,6.6,186.4,75.05,1728
0,0.07,6,8.17,5.4,6.33,8.45,417.9,209.9,3306
-0.02,0.09,11.2,3.89,5.45,4.66,8.9,180.9,51.11,1827
-0.08,0.1,9,5.84,5.65,5.64,9.1,278.4,61.02,2045
0.02,0.09,6.63,8.03,5.2,6.33,8.85,371.8,178.5,3459
-0.02,0.07,8.4,5.75,5.4,5.45,8.3,270.6,147.2,2236
-0.01,0.07,9.1,6.74,5.4,6.13,8.2,320.9,159.9,2527
-0.34,0.24,10,3.9,3.25,2.05,15.03,57.29,31.29,1814
-0.25,0.08,4.2,4.63,4.7,3.38,8.6,98.88,39.73,1687
-0.15,0.26,5.3,3.14,4.15,1.9,16.3,110.9,18.44,505
-0.27,0.15,6.6,8.1,4.05,4.33,10.81,200.1,68.67,3293
0,0.08,8.06,6.85,5.3,5.93,8.64,297.2,142.2,2477
-0.31,0.14,8.35,4.85,3.8,3.51,10.58,105.2,39.34,1946
-0.15,0.07,8.3,5.31,4.25,4.41,8.36,162,46.5,2202
-0.01,0.11,4.59,8.9,4.8,5.93,9.55,323.3,153,3695
-0.27,0.3,10.6,4.37,3.2,1.77,19.9,36.62,25.8,1801
-0.12,0.1,25,1.35,4.1,2.3,9.17,59.85,37.18,693
-0.48,0.22,5.78,6.25,3.45,2.8,14,83.35,34.14,2128
