Ni3AlX,Shear modulus,Melting point (K),dE_s,Ec_s,RareEarth
Li,0.0431,453.69,0.229737139,0.614296153,0
Be,1.46,1551,0.223017846,0.700157833,0
Na,1.46,370.96,1.753894698,1.78524709,0
Mg,0.035,922,0.205830232,0.646551159,0
Al,0.177,933.52,-0.833194003,0.198187586,0
Si,0.271,1683,-0.554319126,0.570466023,0
K,0.405,336.8,2.72265192,2.473391587,0
Ca,0.013,1112,-0.232100515,0.236262146,0
Sc,0.075,1814,-1.165463901,-1.174539398,1
Ti,0.319,1933,-0.936009379,-0.937390704,0
V,0.401,2160,-0.244596082,-0.240610579,0
Cr,0.474,2130,0.184884807,0.14153198,0
Fe,1.19,1808,0.370445744,0.196814881,0
Co,0.831,1768,0.418927226,0.021376369,0
Cu,0.765,1356.6,0.549793798,0.575451967,0
Zn,0.46,692.73,-0.144628807,0.541649408,0
Ge,0.379,1210.6,-0.220856354,0.658228438,0
Rb,0.4,312.2,2.819433391,2.507445374,0
Sr,0.0102,1042,0.023858434,0.435725716,0
Y,0.0533,1795,-0.96157824,-1.086497557,1
Zr,0.263,2125,-1.636353148,-1.66406651,0
Nb,0.348,2741,-0.771189382,-0.570576782,0
Mo,0.382,2890,0.13827615,0.217042608,0
Ru,1.18,2583,0.44559857,-0.057816681,0
Rh,1.63,2239,0.391012328,-0.36671786,0
Pd,1.5,1825,0.424299551,-0.715868776,0
Ag,0.521,1235.08,1.028475906,0.922532354,0
Cd,0.292,594.1,0.204548509,0.780780121,0
Cs,0.246,301.55,2.995307791,2.607220693,0
Ba,0.0066,1002,-0.028699224,0.421279388,0
Hf,0.05,2503,-1.361916269,-1.394102107,0
Ta,0.54,3269,-0.746725785,-0.583848604,0
W,0.7,3680,0.301663362,0.370106446,0
Re,1.56,3453,0.517531968,0.298904512,0
Os,1.82,3327,0.477633186,0.039022988,0
Ir,2.14,2683,0.367496583,-0.320747713,0
Pt,2.14,2045,0.236169046,-0.77109872,0
Au,0.622,1337.58,0.719907115,0.268976163,0
Pb,0.281,600.65,0.500989378,1.094528662,0
B,0.055,2348,-0.347155993,0.69275107,0
Ce,0.14,1071,0.500989378,-0.388007856,1
La,0.14,1193,-0.884186747,-1.03240245,1
Pr,0.16,1204,-0.805848267,-1.011623959,1
Pm,0.18,1373,-0.927375023,-1.087375484,1
Sm,0.2,1345,-1.019087608,-1.115189092,1
Dy,0.25,1685,-0.965814383,-1.092630362,1
Gd,0.22,1586,-1.014156185,-1.111426638,1
Tb,0.22,1629,-0.96157824,-1.095156537,1
Ho,0.26,1747,-1.027688904,-1.106290213,1
Er,0.28,1770,-0.96185249,-1.091944134,1
